"Culture_ID"	"Plant_ID"	"Subspecies"	55	69	188	190	191
45985	1018768	"[St.Alegria.n].97"			0.23554	153.5822	0.036175
45985	1018769	"[St.Alegria.n].98"			0.24544	145.2198	0.035643
45985	1018770	"[St.Alegria.n].99"			0.22172	159.854	0.035443
45985	1018771	"[St.Alegria.n].100"			0.20421	155.6728	0.03179
45985	1018772	"[St.Alegria.n].101"			0.23567	159.854	0.037673
45985	1018773	"[St.Alegria.n].102"			0.21259	176.5788	0.037539
45985	1018774	"[St.Alegria.n].103"			0.22114	159.854	0.03535
45985	1018775	"[St.Alegria.n].104"			0.27257	155.6728	0.042432
45985	1018776	"[St.Alegria.n].105"			0.25973	138.948	0.036089
45985	1018778	"[St.Milva.n].108"			0.09658	95.0454	0.009179
45985	1018779	"[St.Milva.n].109"			0.10686	130.5856	0.013954
45985	1018780	"[St.Milva.n].110"			0.10124	113.8608	0.011527
45985	1018781	"[St.Milva.n].111"			0.09644	113.8608	0.010981
45985	1018782	"[St.Milva.n].112"			0.08967	126.4044	0.011335
45985	1018783	"[St.Milva.n].113"			0.09586	138.948	0.01332
45985	1018784	"[St.Milva.n].114"			0.10732	122.2232	0.013117
45985	1018785	"[St.Milva.n].115"			0.09736	126.4044	0.012307
45985	1018786	"[St.Milva.n].116"			0.11598	113.8608	0.013206
45985	1018787	"[St.Milva.n].117"			0.12894	128.495	0.016568
45985	1018788	"[St.Milva.n].118"			0.12626	122.2232	0.015432
45985	1018789	"[St.Milva.n].119"			0.10809	130.5856	0.014115
45985	1018790	"[St.Milva.n].120"			0.1025	132.6762	0.013599
45985	1018791	"[St.Milva.n].121"			0.11663	132.6762	0.015474
45985	1018792	"[St.Milva.n].122"			0.11571	118.042	0.013659
45985	1018793	"[St.Milva.n].123"			0.10939	134.7668	0.014742
45985	1018794	"[St.Milva.n].124"			0.063	170.307	0.010729
45985	1018795	"[St.Milva.n].125"			0.0829	151.4916	0.012559
45985	1018796	"[St.Milva.n].126"			0.09917	157.7634	0.015645
45985	1018797	"[St.Milva.n].127"			0.09609	151.4916	0.014557
45985	1018798	"[St.Milva.n].128"			0.10138	166.1258	0.016842
45985	1018799	"[St.Milva.n].129"			0.09203	170.307	0.015673
45985	1018800	"[St.Milva.n].130"			0.08358	161.9446	0.013535
45985	1018801	"[St.Milva.n].131"			0.08802	159.854	0.01407
45985	1018802	"[St.Saturna.n].106"			0.09707	134.7668	0.013082
