Culture_ID,Plant_ID,Subspecies,55_12,69_12,55_810,69_810,188,190,191
58243,1214123,[St.Euroresa.n].122,7.2,,2.5351,0.653,,197.270527277,1.42034779639
58243,1214124,[St.Euroresa.n].123,16.0,,2.5011,0.701,,219.963678262,3.51941885219
58243,1214125,[St.Euroresa.n].124,118.0,,2.3108,0.635,,214.483607236,25.3090656538
58243,1214127,[St.Euroresa.n].126,172.2,,2.2242,0.666,,239.120504181,41.17655082
58243,1214128,[St.Euroresa.n].127,100.7,,2.6970,0.697,,198.12229848,19.9509154569
58243,1214129,[St.Euroresa.n].128,48.8,,2.2728,0.554,,183.43919993,8.95183295656
58243,1214130,[St.Euroresa.n].129,19.6,,2.6579,0.641,,180.854839272,3.54475484972
58243,1214131,[St.Eurobravo.n].118,9.9,,2.9818,0.671,,164.71885995,1.63071671351
58243,1214132,[St.Eurobravo.n].119,23.9,,3.0598,0.873,,224.99976554,5.37749439641
58243,1214133,[St.Eurobravo.n].120,180.6,,2.8538,0.732,,196.187105123,35.4313911852
58243,1214134,[St.Eurobravo.n].121,78.31,,2.8455,0.838,,234.187087858,18.3391908502
58243,1214135,[St.Eurobravo.n].122,74.9,,3.0433,0.729,,179.229601781,13.4242971734
58243,1214137,[St.Eurobravo.n].124,63.8,,2.3125,0.508,,159.362675676,10.1673387081
58243,1214139,[St.Eurobravo.n].126,131.4,,2.4620,0.609,,187.046870024,24.5779587212
58243,1214140,[St.Eurobravo.n].127,65.1,,2.5416,0.602,,176.545671703,11.4931232279
58243,1214142,[St.Eurobravo.n].129,9.7,,2.1643,0.541,,189.652346763,1.8396277636
58243,1214143,[St.Tomba.n].118,7.4,,3.6625,0.829,,166.035122867,1.22865990922
58243,1214144,[St.Tomba.n].119,42.5,,2.8040,0.760,,210.728369472,8.95595570257
58243,1214145,[St.Tomba.n].120,89.2,,2.9836,0.928,,250.720650623,22.3642820356
58243,1214146,[St.Tomba.n].121,126.2,,2.9374,0.762,,199.100086403,25.1264309041
58243,1214147,[St.Tomba.n].122,22.8,,2.5505,0.617,,181.600350323,4.14048798738
58243,1214148,[St.Tomba.n].123,6.1,,3.5813,0.876,,184.29091478,1.12417458016
58243,1214149,[St.Tomba.n].124,231.7,,2.7376,0.813,,236.662452951,54.8346903489
58243,1214150,[St.Tomba.n].125,273.5,,3.2318,0.865,,207.339701281,56.7074083004
58243,1214151,[St.Tomba.n].126,63.4,,2.9354,0.641,,158.055876473,10.0207425684
58243,1214152,[St.Tomba.n].127,87.8,,2.9171,0.679,,172.452417709,15.1413222749
58243,1214153,[St.Tomba.n].128,27.4,,2.2946,0.500,,157.589902467,4.31796332759
58243,1214155,[St.Euronova.n].118,94.3,,2.8415,0.637,,163.864371107,15.4524101954
58243,1214156,[St.Euronova.n].119,94.6,,2.6901,0.588,,158.266234973,14.9719858284
58243,1214157,[St.Euronova.n].120,286.7,,2.8015,0.842,,240.240275031,68.8768868515
58243,1214158,[St.Euronova.n].121,173.5,,2.7817,0.597,,154.303960851,26.7717372077
58243,1214159,[St.Euronova.n].122,74.2,,2.7259,0.611,,163.833153564,12.1564199944
58243,1214160,[St.Euronova.n].123,31.9,,2.2360,0.485,,156.592187835,4.99529079195
58243,1214161,[St.Euronova.n].124,148.2,,2.2139,0.575,,199.409661367,29.5525118146
58243,1214162,[St.Euronova.n].125,259.0,,3.0734,0.896,,231.220806208,59.8861888079
58243,1214163,[St.Euronova.n].126,256.5,,2.3130,0.532,,169.69132339,43.5258244494
58243,1214164,[St.Euronova.n].127,152.6,,2.5425,0.629,,187.081296952,28.5486059148
58243,1214165,[St.Euronova.n].128,51.9,,2.1400,0.492,,169.593542056,8.80190483271
58243,1214166,[St.Euronova.n].129,59.4,,2.6005,0.547,,150.031164584,8.91185117627
