Culture_ID,Plant_ID,Subspecies,55,69,163,164,188,225,190,191
44443,989695,[St.Ramses.n].2,,,,,8.708000,,203.000000,1.767724
44443,989696,[St.Ramses.n].3,,,,,9.200000,,199.000000,1.830800
44443,989697,[St.Ramses.n].4,,,,,7.524000,,209.000000,1.572516
44443,989698,[St.Ramses.n].5,,,,,10.222000,,214.000000,2.187508
44443,989699,[St.Ramses.n].6,,,,,7.632000,,205.000000,1.564560
44443,989700,[St.Ramses.n].7,,,,,10.626000,,209.000000,2.220834
44443,989701,[St.Ramses.n].8,,,,,7.326000,,213.000000,1.560438
44443,989702,[St.Sibu.n].1,,,,,10.098000,,189.000000,1.908522
44443,989703,[St.Sibu.n].2,,,,,6.918000,,176.000000,1.217568
44443,989704,[St.Sibu.n].3,,,,,8.942000,,223.000000,1.994066
44443,989705,[St.Sibu.n].4,,,,,7.348000,,186.000000,1.366728
44443,989706,[St.Sibu.n].5,,,,,8.258000,,220.000000,1.816760
44443,989707,[St.Sibu.n].6,,,,,9.372000,,179.000000,1.677588
44443,989708,[St.Sibu.n].7,,,,,10.526000,,202.000000,2.126252
44443,989709,[St.Sibu.n].8,,,,,7.752000,,198.000000,1.534896
44443,989710,[St.Verdi.n].1,,,,,7.586000,,222.000000,1.684092
44443,989711,[St.Verdi.n].2,,,,,7.662000,,215.000000,1.647330
44443,989712,[St.Verdi.n].3,,,,,10.624000,,222.000000,2.358528
44443,989713,[St.Verdi.n].4,,,,,8.002000,,213.000000,1.704426
44443,989714,[St.Verdi.n].5,,,,,9.824000,,215.000000,2.112160
44443,989715,[St.Verdi.n].6,,,,,6.950000,,220.000000,1.529000
44443,989716,[St.Verdi.n].7,,,,,8.570000,,211.000000,1.808270
44443,989717,[St.Verdi.n].8,,,,,7.540000,,229.000000,1.726660
44443,989718,[St.Milva.n].22,,,,,9.262000,,174.000000,1.611588
44443,989719,[St.Milva.n].23,,,,,9.050000,,148.000000,1.339400
44443,989720,[St.Milva.n].24,,,,,10.326000,,181.000000,1.869006
44443,989721,[St.Milva.n].25,,,,,7.416000,,155.000000,1.149480
44443,989722,[St.Milva.n].26,,,,,9.734000,,184.000000,1.791056
44443,989723,[St.Milva.n].27,,,,,6.104000,,146.000000,0.891184
44443,989724,[St.Milva.n].28,,,,,11.608000,,159.000000,1.845672
44443,989725,[St.Milva.n].29,,,,,8.342000,,159.000000,1.326378
44443,989726,[St.Saturna.n].22,,,,,8.792000,,211.000000,1.855112
44443,989727,[St.Saturna.n].23,,,,,6.354000,,189.000000,1.200906
44443,989728,[St.Saturna.n].24,,,,,8.470000,,202.000000,1.710940
44443,989729,[St.Saturna.n].25,,,,,8.666000,,207.000000,1.793862
44443,989730,[St.Saturna.n].26,,,,,9.468000,,201.000000,1.903068
44443,989731,[St.Saturna.n].27,,,,,6.808000,,190.000000,1.293520
44443,989732,[St.Saturna.n].28,,,,,9.330000,,205.000000,1.912650
44443,989733,[St.Saturna.n].29,,,,,7.494000,,177.000000,1.326438
44443,989734,[St.Desiree.n].1042,,,,,4.698000,,150.000000,0.704700
44443,989735,[St.Desiree.n].1043,,,,,6.896000,,159.000000,1.096464
44443,989736,[St.Desiree.n].1044,,,,,8.666000,,168.000000,1.455888
44443,989737,[St.Desiree.n].1045,,,,,4.674000,,148.000000,0.691752
44443,989738,[St.Desiree.n].1046,,,,,7.384000,,173.000000,1.277432
44443,989739,[St.Desiree.n].1047,,,,,7.052000,,150.000000,1.057800
44443,989740,[St.Desiree.n].1048,,,,,7.082000,,163.000000,1.154366
44443,989741,[St.Desiree.n].1049,,,,,5.192000,,140.000000,0.726880
44443,989742,[St.Alegria.n].22,,,,,9.842000,,175.000000,1.722350
44443,989743,[St.Alegria.n].23,,,,,7.120000,,156.000000,1.110720
44443,989744,[St.Alegria.n].24,,,,,9.924000,,182.000000,1.806168
44443,989745,[St.Alegria.n].25,,,,,7.660000,,162.000000,1.240920
44443,989746,[St.Alegria.n].26,,,,,9.154000,,180.000000,1.647720
44443,989747,[St.Alegria.n].27,,,,,7.270000,,170.000000,1.235900
44443,989748,[St.Alegria.n].28,,,,,10.136000,,173.000000,1.753528
44443,989749,[St.Alegria.n].29,,,,,8.398000,,166.000000,1.394068
45985,1018681,[St.Milva.n].84,,,,,0.255090,,115.951400,0.029578
45985,1018682,[St.Milva.n].85,,,,,0.260910,,136.857400,0.035707
45985,1018683,[St.Milva.n].86,,,,,0.256420,,153.582200,0.039382
45985,1018684,[St.Milva.n].87,,,,,0.257860,,136.857400,0.035290
45985,1018685,[St.Milva.n].88,,,,,0.312110,,130.585600,0.040757
45985,1018686,[St.Milva.n].89,,,,,0.253290,,151.491600,0.038371
45985,1018687,[St.Milva.n].90,,,,,0.300070,,92.954800,0.027893
45985,1018688,[St.Milva.n].91,,,,,0.355630,,120.132600,0.042723
45985,1018689,[St.Milva.n].92,,,,,0.367370,,124.313800,0.045669
45985,1018690,[St.Milva.n].93,,,,,0.363720,,157.763400,0.057382
45985,1018691,[St.Milva.n].94,,,,,0.322600,,157.763400,0.050894
45985,1018692,[St.Milva.n].95,,,,,0.314310,,153.582200,0.048272
45985,1018693,[St.Milva.n].96,,,,,0.279860,,128.495000,0.035961
45985,1018694,[St.Milva.n].97,,,,,0.196600,,143.129200,0.028139
45985,1018695,[St.Milva.n].98,,,,,0.297720,,147.310400,0.043857
45985,1018696,[St.Milva.n].99,,,,,0.431200,,145.219800,0.062619
45985,1018697,[St.Milva.n].100,,,,,0.377940,,130.585600,0.049354
45985,1018698,[St.Milva.n].101,,,,,0.359580,,138.948000,0.049963
45985,1018699,[St.Milva.n].102,,,,,0.330310,,147.310400,0.048658
45985,1018700,[St.Milva.n].103,,,,,0.314050,,151.491600,0.047576
45985,1018701,[St.Milva.n].104,,,,,0.288490,,134.766800,0.038879
45985,1018702,[St.Milva.n].105,,,,,0.279860,,136.857400,0.038301
45985,1018703,[St.Milva.n].106,,,,,0.366570,,141.038600,0.051701
45985,1018704,[St.Milva.n].107,,,,,0.290770,,141.038600,0.041010
45985,1018705,[St.Saturna.n].82,,,,,0.000000,,0.000000,0.000000
45985,1018706,[St.Saturna.n].83,,,,,0.179990,,182.850600,0.032911
45985,1018707,[St.Saturna.n].84,,,,,0.167170,,176.578800,0.029519
45985,1018708,[St.Saturna.n].85,,,,,0.185060,,199.575400,0.036933
45985,1018709,[St.Saturna.n].86,,,,,0.214500,,189.122400,0.040567
45985,1018710,[St.Saturna.n].87,,,,,0.207520,,187.031800,0.038813
45985,1018711,[St.Saturna.n].88,,,,,0.217030,,197.484800,0.042860
45985,1018712,[St.Saturna.n].89,,,,,0.206410,,184.941200,0.038174
45985,1018713,[St.Saturna.n].90,,,,,0.222720,,182.850600,0.040724
45985,1018714,[St.Saturna.n].91,,,,,0.209390,,191.213000,0.040038
45985,1018715,[St.Saturna.n].92,,,,,0.214440,,187.031800,0.040107
45985,1018716,[St.Saturna.n].93,,,,,0.250360,,195.394200,0.048919
45985,1018717,[St.Saturna.n].94,,,,,0.166660,,191.213000,0.031868
45985,1018718,[St.Saturna.n].95,,,,,0.199390,,197.484800,0.039376
45985,1018719,[St.Saturna.n].96,,,,,0.242750,,184.941200,0.044894
45985,1018720,[St.Saturna.n].97,,,,,0.209250,,178.669400,0.037387
45985,1018721,[St.Saturna.n].98,,,,,0.238950,,207.937800,0.049687
45985,1018722,[St.Saturna.n].99,,,,,0.234550,,184.941200,0.043378
45985,1018723,[St.Saturna.n].100,,,,,0.195090,,182.850600,0.035672
45985,1018724,[St.Saturna.n].101,,,,,0.231300,,180.760000,0.041810
45985,1018725,[St.Saturna.n].102,,,,,0.000000,,0.000000,0.000000
45985,1018726,[St.Saturna.n].103,,,,,0.211400,,197.484800,0.041748
45985,1018727,[St.Saturna.n].104,,,,,0.203310,,187.031800,0.038025
45985,1018728,[St.Saturna.n].105,,,,,0.263870,,174.488200,0.046042
45985,1018729,[St.Desiree.n].1055,,,,,0.264100,,164.035200,0.043322
45985,1018730,[St.Desiree.n].1056,,,,,0.341030,,170.307000,0.058080
45985,1018731,[St.Desiree.n].1057,,,,,0.277460,,184.941200,0.051314
45985,1018732,[St.Desiree.n].1058,,,,,0.240390,,178.669400,0.042950
